network_family,industry,shock_attribute,supplier_count,alternative_supplier_count,port_count,alternative_port_count,factory_count,warehouse_count,distribution_center_count,network_depth,network_edge_count,network_node_count,supplier_concentration,port_dependency,single_point_of_failure,average_route_distance_km,critical_route_distance_km,alternate_route_distance_km,average_supplier_reliability,minimum_supplier_reliability,average_supplier_availability,average_capacity_utilization,maximum_capacity_utilization,factory_capacity_utilization,warehouse_capacity_utilization,inventory_days,safety_stock_days,shock_type_encoded,shock_severity,shock_duration_days,affected_node_importance,affected_capacity_change_pct,affected_availability_change_pct,affected_congestion_change_pct,affected_supply_percent,affected_production_percent,additional_transit_days,additional_transport_cost_pct,alternate_route_available,alternate_route_count,alternate_route_delay_days,alternate_route_cost_increase_pct,rerouted_supply_percent,usd_inr,crude_price,commodity_price,inflation_rate,freight_index,cost_impact_pct,delay_days,risk_score
consumer_goods_delhi,Consumer Goods,transit_time_days,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,2.0,0.018,6.2,0.5,0.72,0.72,1.07,0.0,0.62,0.25,0.54,1.0,3.0,0.25,0.54,49.69,82.83,85.36,100.64,4.74,102.18,3.19,0.3,5.0
synth_24,Construction,reliability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,4.0,0.418,12.94,0.6,35.55,41.83,16.73,20.91,36.08,2.71,14.64,0.0,0.0,2.71,14.64,0.0,81.92,89.76,99.46,5.63,112.04,14.29,3.8,30.7
synth_30,Plastics,congestion,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,56.66,0.0,0.0,574.88,1536.37,1536.37,0.844,0.791,0.883,72.0,82.0,82.0,70.0,22.8,7.33,0.0,0.573,12.01,0.6,40.12,28.66,57.31,5.2,38.23,1.03,14.33,1.0,4.0,1.03,14.33,23.99,84.54,74.14,93.85,6.6,110.15,15.69,1.1,23.3
consumer_goods_delhi,Consumer Goods,reliability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,5.0,0.644,22.61,0.6,54.7,64.35,25.74,32.18,64.35,7.27,22.52,0.0,0.0,7.27,22.52,0.0,85.05,71.98,102.66,6.46,124.89,22.77,8.3,50.9
synth_27,Heavy Machinery,reliability,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,2.0,0.0,31.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.87,82.83,98.81,4.65,156.69,4.83,0.0,8.1
synth_18,Energy,congestion,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,67.89,0.0,0.0,593.38,1526.99,1526.99,0.884,0.854,0.883,72.0,82.0,82.0,70.0,19.0,7.33,4.0,0.568,41.68,0.6,39.74,28.38,56.77,8.35,56.77,3.55,14.19,1.0,3.0,3.55,14.19,40.07,83.19,81.13,88.56,4.93,91.73,19.67,4.5,35.5
consumer_goods_delhi,Consumer Goods,severity,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,3.0,0.62,13.07,0.91,61.97,61.97,30.98,30.98,50.62,4.05,21.69,0.0,0.0,4.05,21.69,0.0,80.18,91.71,111.62,5.74,152.25,23.13,3.8,43.4
synth_9,Food Processing,transport_cost,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,308.11,616.22,616.22,0.956,0.956,0.951,89.09,89.69,89.69,89.09,21.96,11.37,2.0,0.509,6.84,0.5,0.0,0.0,0.0,25.46,19.35,1.74,68.75,0.0,0.0,1.74,68.75,0.0,80.39,101.31,97.87,4.77,141.9,39.09,4.2,43.4
synth_7,Chemicals,severity,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,0.0,0.124,31.29,1.0,12.42,12.42,6.21,6.21,12.42,1.94,4.35,0.0,0.0,1.94,4.35,0.0,83.08,65.0,96.05,4.7,105.49,5.03,3.0,17.0
synth_9,Food Processing,capacity,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,308.11,616.22,616.22,0.956,0.956,0.951,89.09,89.69,89.69,89.09,21.96,11.37,3.0,0.468,31.35,0.9,46.84,37.47,28.11,23.42,46.84,7.34,16.4,0.0,0.0,7.34,16.4,0.0,85.39,86.14,112.88,7.33,118.4,19.14,10.8,45.6
synth_2,Textiles,reliability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.97,0.0,0.0,480.97,1024.87,1024.87,0.82,0.79,0.883,72.0,82.0,82.0,70.0,20.8,7.33,0.0,0.683,6.51,1.0,58.08,68.33,27.33,34.16,24.7,2.22,23.91,0.0,0.0,2.22,23.91,0.0,81.86,77.79,103.07,6.52,128.03,16.37,3.6,35.7
automotive_chennai,Automotive,capacity,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,60.0,85.0,1.0,2198.57,920.0,920.0,0.94,0.92,0.925,80.2,88.0,88.0,82.0,13.5,4.5,4.0,0.256,5.92,0.6,25.63,20.51,15.38,12.82,10.11,0.76,8.97,0.0,0.0,0.76,8.97,0.0,80.37,88.17,92.7,4.91,159.72,11.89,1.6,22.1
synth_4,Textiles,transport_cost,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.0,46.42,0.6,0.0,0.0,0.0,0.0,0.0,0.2,2.86,1.0,4.0,0.2,2.86,50.0,83.57,69.66,106.33,4.94,75.0,2.3,0.5,6.1
synth_27,Heavy Machinery,transit_time_days,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,3.0,0.0,56.76,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75,85.23,108.18,5.02,128.05,3.12,0.2,7.7
synth_2,Textiles,reliability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.97,0.0,0.0,480.97,1024.87,1024.87,0.82,0.79,0.883,72.0,82.0,82.0,70.0,20.8,7.33,2.0,0.0,58.66,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,50.0,81.75,82.06,104.51,5.1,160.47,5.09,0.2,8.5
synth_16,Aerospace,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.637,5.63,0.6,54.13,63.68,25.47,12.41,19.91,0.0,0.0,1.0,4.0,0.0,0.0,38.86,82.7,88.64,106.82,3.8,127.25,11.34,0.0,20.4
automotive_chennai,Automotive,severity,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,60.0,85.0,1.0,2198.57,920.0,920.0,0.94,0.92,0.925,80.2,88.0,88.0,82.0,13.5,4.5,2.0,1.0,59.45,0.5,100.0,100.0,50.0,33.75,100.0,0.0,0.0,1.0,2.0,0.0,0.0,32.5,79.26,97.64,103.51,5.72,100.74,24.09,4.5,52.5
synth_6,Chemicals,congestion,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,43.79,0.0,0.0,542.96,1434.29,1169.84,0.834,0.795,0.883,72.0,82.0,82.0,70.0,18.18,7.33,2.0,0.066,42.79,0.5,4.59,3.28,6.55,0.0,6.55,1.42,14.37,1.0,4.0,1.42,14.37,48.85,82.25,99.26,105.23,4.76,87.95,10.87,1.6,18.9
synth_12,Food Processing,congestion,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,2.0,0.185,12.6,0.5,12.95,9.25,18.51,0.0,12.96,0.55,7.48,1.0,4.0,0.55,7.48,46.76,83.44,82.01,100.23,4.98,133.18,9.87,0.3,11.8
synth_30,Plastics,capacity,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,56.66,0.0,0.0,574.88,1536.37,1536.37,0.844,0.791,0.883,72.0,82.0,82.0,70.0,22.8,7.33,0.0,0.587,5.65,1.0,58.67,46.93,35.2,29.33,18.43,1.66,20.53,0.0,0.0,1.66,20.53,0.0,82.51,76.2,108.29,6.04,91.16,12.28,1.9,25.3
synth_4,Textiles,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1240.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,2.0,0.0,57.73,0.5,0.0,0.0,0.0,0.0,0.0,1.0,15.71,1.0,4.0,1.0,15.71,50.0,79.0,86.25,97.56,7.11,130.36,10.64,1.0,17.6
synth_30,Plastics,congestion,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,56.66,0.0,0.0,574.88,1536.37,1536.37,0.844,0.791,0.883,72.0,82.0,82.0,70.0,22.8,7.33,0.0,0.245,58.43,0.6,17.12,12.23,24.46,0.0,24.46,2.14,6.12,1.0,4.0,2.14,6.12,12.19,81.24,77.73,114.93,4.87,157.45,11.37,2.0,17.8
industrial_equipment_ahmedabad,Industrial Equipment,transit_time_days,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,60.0,75.0,0.0,365.0,910.0,1335.0,0.93,0.92,0.935,72.6,85.0,85.0,78.0,28.0,9.25,0.0,0.0,20.25,0.6,0.0,0.0,0.0,0.0,0.0,1.2,33.61,1.0,3.0,1.2,33.61,60.0,84.1,90.32,100.34,5.37,94.87,16.65,1.3,18.1
synth_4,Textiles,severity,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1240.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,3.0,0.247,44.83,0.95,24.69,24.69,12.35,0.0,24.69,1.0,15.71,1.0,4.0,1.0,15.71,45.68,83.03,88.01,109.22,6.67,141.23,16.75,0.4,23.0
synth_21,Construction,transit_time_days,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,591.07,1182.14,1182.14,0.88,0.88,0.956,78.34,86.52,70.15,78.34,20.21,7.34,3.0,0.0,7.14,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31,106.27,100.86,5.29,146.17,7.48,0.2,8.4
synth_31,Plastics,transit_time_days,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,3.0,0.0,14.25,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,87.44,101.37,5.52,136.85,3.73,0.7,8.2
synth_12,Food Processing,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.61,22.6,0.6,51.84,60.99,24.4,10.83,60.99,0.2,2.86,1.0,4.0,0.2,2.86,39.33,82.63,84.19,91.94,4.95,151.67,19.82,1.1,31.5
synth_5,Chemicals,reliability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,573.23,1146.47,1146.47,0.93,0.93,0.876,80.44,83.03,83.03,80.44,10.93,8.86,3.0,0.896,16.32,0.9,76.19,89.63,35.85,44.82,89.63,7.32,31.37,0.0,0.0,7.32,31.37,0.0,83.78,65.0,117.07,5.38,111.12,29.71,11.4,78.1
synth_21,Construction,reliability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,591.07,1182.14,1182.14,0.88,0.88,0.956,78.34,86.52,70.15,78.34,20.21,7.34,0.0,0.396,4.48,1.0,33.64,39.58,15.83,19.79,9.85,0.89,13.85,0.0,0.0,0.89,13.85,0.0,83.87,82.47,110.43,4.63,116.57,11.37,2.4,24.2
synth_10,Food Processing,severity,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.86,0.0,0.0,558.6,968.86,1714.95,0.831,0.768,0.883,72.0,82.0,82.0,70.0,22.28,7.33,0.0,0.2,14.88,0.6,20.02,20.02,10.01,0.0,16.56,1.0,12.73,1.0,4.0,1.0,12.73,60.32,85.33,86.68,98.62,4.53,85.47,11.99,1.2,16.0
consumer_goods_delhi,Consumer Goods,reliability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,3.0,0.798,2.0,0.91,67.86,79.84,31.94,39.92,9.98,0.8,27.94,0.0,0.0,0.8,27.94,0.0,83.6,75.87,109.98,4.44,137.66,17.5,1.6,35.9
synth_17,Energy,capacity,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,382.13,764.27,764.27,0.824,0.824,0.933,77.02,81.19,81.19,77.02,28.15,5.99,2.0,0.0,3.07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.54,73.19,109.28,4.55,97.49,0.5,0.0,3.0
synth_18,Energy,congestion,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,67.89,0.0,0.0,593.38,1526.99,1526.99,0.884,0.854,0.883,72.0,82.0,82.0,70.0,19.0,7.33,2.0,0.314,7.01,0.5,21.96,15.69,31.38,0.0,12.23,0.33,7.84,1.0,4.0,0.33,7.84,44.51,83.22,76.31,94.51,5.98,75.0,7.48,0.0,9.4
industrial_equipment_ahmedabad,Industrial Equipment,transport_cost,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,60.0,75.0,0.0,365.0,910.0,1335.0,0.93,0.92,0.935,72.6,85.0,85.0,78.0,28.0,9.25,0.0,0.0,14.81,0.6,0.0,0.0,0.0,0.0,0.0,1.2,33.61,1.0,3.0,1.2,33.61,60.0,82.8,72.6,98.34,4.27,100.83,15.04,1.4,16.4
synth_27,Heavy Machinery,availability,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,0.0,0.558,12.48,1.0,47.41,55.78,22.31,27.89,38.67,3.48,19.52,0.0,0.0,3.48,19.52,0.0,85.59,71.22,110.13,6.14,98.76,16.11,6.5,37.5
synth_12,Food Processing,transport_cost,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1140.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.0,62.95,0.6,0.0,0.0,0.0,0.0,0.0,0.5,8.57,1.0,4.0,0.5,8.57,65.0,83.66,75.65,102.12,5.25,130.07,5.39,0.0,8.7
synth_24,Construction,reliability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1240.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,3.0,0.343,4.46,0.95,29.15,34.29,13.72,0.0,6.94,1.0,15.71,1.0,4.0,1.0,15.71,44.0,87.23,81.9,106.86,5.07,132.21,14.36,0.2,15.3
synth_14,Aerospace,transport_cost,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,59.13,0.0,0.0,523.46,1153.49,1263.39,0.845,0.794,0.883,72.0,82.0,82.0,70.0,22.06,7.33,2.0,1.0,61.37,0.5,0.0,0.0,0.0,33.75,100.0,0.7,115.28,1.0,3.0,0.7,115.28,32.5,86.72,68.61,111.31,6.06,116.08,65.0,3.5,51.5
synth_8,Chemicals,transport_cost,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.0,3.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,35.0,84.96,83.32,103.82,5.66,85.67,1.77,0.1,3.0
synth_32,Plastics,transit_time_days,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.0,63.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,2.86,1.0,4.0,0.2,2.86,50.0,87.2,84.46,95.57,5.18,105.85,4.71,0.0,7.4
synth_30,Plastics,transport_cost,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,56.66,0.0,0.0,574.88,1536.37,1536.37,0.844,0.791,0.883,72.0,82.0,82.0,70.0,22.8,7.33,2.0,1.0,22.15,0.5,0.0,0.0,0.0,33.75,100.0,0.0,206.97,1.0,3.0,0.0,206.97,32.5,84.09,83.96,100.3,4.22,141.31,65.0,0.5,46.6
consumer_goods_delhi,Consumer Goods,severity,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,4.0,0.576,19.77,0.6,57.61,57.61,28.8,28.8,57.61,5.69,20.16,0.0,0.0,5.69,20.16,0.0,84.45,76.24,93.51,5.57,140.21,21.31,5.7,43.6
synth_31,Plastics,transit_time_days,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,5050.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,1.0,0.0,3.77,0.6,0.0,0.0,0.0,0.0,0.0,3.0,20.14,1.0,1.0,3.0,20.14,70.0,85.5,80.95,100.41,6.52,75.02,10.72,3.0,15.2
synth_11,Food Processing,reliability,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,0.0,0.569,20.68,1.0,48.39,56.93,22.77,28.47,56.93,5.89,19.93,0.0,0.0,5.89,19.93,0.0,87.74,92.42,98.15,5.96,136.97,24.76,8.9,52.0
synth_4,Textiles,congestion,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,5.0,0.669,2.0,0.6,46.82,33.45,66.89,33.45,7.43,0.87,40.13,0.0,0.0,0.87,40.13,0.0,82.09,77.26,113.55,5.94,108.65,20.76,1.2,34.1
electronics_bengaluru,Electronics,capacity,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,65.0,80.0,0.0,1386.43,4505.0,4505.0,0.93,0.91,0.95,75.0,85.0,85.0,78.0,18.0,6.0,4.0,0.658,28.98,0.6,65.82,52.66,39.49,32.91,65.82,9.54,23.04,0.0,0.0,9.54,23.04,0.0,82.52,73.78,101.45,5.26,127.08,23.03,10.5,53.6
synth_6,Chemicals,reliability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,43.79,0.0,0.0,542.96,1434.29,1434.29,0.834,0.795,0.883,72.0,82.0,82.0,70.0,18.18,7.33,0.0,0.496,7.95,0.6,42.12,49.56,19.82,3.6,21.9,0.0,0.0,1.0,4.0,0.0,0.0,36.19,82.6,85.69,104.64,3.83,118.85,8.82,-0.0,13.2
synth_17,Energy,severity,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,382.13,764.27,764.27,0.824,0.824,0.933,77.02,81.19,81.19,77.02,28.15,5.99,0.0,0.376,30.86,1.0,37.65,37.65,18.82,18.82,37.65,5.81,13.18,0.0,0.0,5.81,13.18,0.0,83.96,74.73,89.71,4.57,148.87,15.41,7.9,34.3
automotive_chennai,Automotive,congestion,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,60.0,85.0,1.0,2198.57,920.0,920.0,0.94,0.92,0.925,80.2,88.0,88.0,82.0,13.5,4.5,1.0,0.792,3.94,0.6,55.44,39.6,79.2,6.46,17.33,0.47,19.8,1.0,2.0,0.47,19.8,10.84,83.39,72.65,111.02,6.1,113.14,14.09,0.6,19.9
synth_26,Heavy Machinery,reliability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,59.01,0.0,0.0,494.32,699.05,699.05,0.844,0.792,0.883,72.0,82.0,82.0,70.0,18.99,7.33,3.0,0.696,28.61,0.95,59.13,69.57,27.83,34.78,69.57,9.95,24.35,0.0,0.0,9.95,24.35,0.0,82.36,75.33,115.75,3.97,103.62,22.8,10.5,56.5
synth_9,Food Processing,reliability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,308.11,616.22,616.22,0.956,0.956,0.951,89.09,89.69,89.69,89.09,21.96,11.37,3.0,0.793,62.19,0.9,67.42,79.31,31.73,39.66,79.31,24.66,27.76,0.0,0.0,24.66,27.76,0.0,84.05,83.69,110.08,4.77,88.52,26.55,31.5,76.2
synth_20,Energy,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,5.0,0.51,23.36,0.6,43.37,51.03,20.41,25.51,51.03,5.96,17.86,0.0,0.0,5.96,17.86,0.0,81.8,67.71,105.53,5.44,124.45,18.21,7.3,41.0
synth_24,Construction,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1140.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.839,60.74,0.6,71.34,83.93,33.57,31.6,83.93,0.5,8.57,1.0,4.0,0.5,8.57,45.91,83.75,83.45,98.35,4.8,109.59,24.88,2.8,45.1
pharma_gujarat,Pharmaceuticals,transit_time_days,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,80.0,0.0,309.17,1025.0,1025.0,0.935,0.92,0.95,72.6,82.0,82.0,74.0,27.5,10.0,1.0,0.0,10.04,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,80.0,82.66,82.24,116.14,6.1,111.32,1.58,0.0,3.0
synth_17,Energy,severity,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,382.13,764.27,764.27,0.824,0.824,0.933,77.02,81.19,81.19,77.02,28.15,5.99,0.0,0.791,3.7,0.6,79.05,79.05,39.53,79.05,16.24,1.46,27.67,0.0,0.0,1.46,27.67,0.0,86.07,73.0,99.42,5.53,124.69,17.28,5.2,51.6
industrial_equipment_coimbatore,Industrial Equipment,reliability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,75.0,0.0,279.17,785.0,785.0,0.935,0.92,0.945,72.8,84.0,84.0,76.0,26.0,8.5,1.0,0.357,2.0,0.6,30.37,35.73,14.29,0.0,3.97,0.0,0.0,1.0,3.0,0.0,0.0,65.62,84.62,76.82,89.4,5.34,110.7,5.92,0.2,9.1
synth_13,Aerospace,availability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,570.49,1140.99,1140.99,0.922,0.922,0.95,72.37,77.89,77.89,72.37,12.32,10.9,0.0,0.647,29.54,0.6,54.98,64.68,25.87,64.68,64.68,9.55,22.64,0.0,0.0,9.55,22.64,0.0,84.6,92.29,97.76,5.49,89.42,22.84,16.6,79.4
synth_28,Heavy Machinery,transport_cost,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.0,61.12,0.6,0.0,0.0,0.0,0.0,0.0,0.2,2.86,1.0,4.0,0.2,2.86,50.0,84.08,81.46,91.68,6.38,118.77,3.43,0.0,7.9
synth_24,Construction,transit_time_days,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1240.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,2.0,0.283,44.6,0.5,11.32,11.32,16.98,0.0,28.3,4.96,24.2,1.0,4.0,4.96,24.2,45.05,83.73,89.77,102.52,5.57,130.59,21.88,5.2,35.4
synth_28,Heavy Machinery,availability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1080.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,0.0,0.823,33.51,0.6,69.95,82.29,32.92,23.35,82.29,0.2,2.86,1.0,4.0,0.2,2.86,35.6,79.73,85.3,107.08,6.0,160.92,23.35,0.9,35.6
synth_2,Textiles,availability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,64.97,0.0,0.0,480.97,1024.87,1024.87,0.82,0.79,0.883,72.0,82.0,82.0,70.0,20.8,7.33,4.0,0.369,27.06,0.6,31.39,36.93,14.77,0.0,36.93,0.0,0.0,1.0,3.0,0.0,0.0,43.54,86.21,76.76,109.18,5.47,134.35,12.83,0.4,18.1
synth_11,Food Processing,severity,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,0.0,0.799,58.62,1.0,79.89,79.89,39.94,39.94,79.89,23.41,27.96,0.0,0.0,23.41,27.96,0.0,83.25,82.12,110.09,7.59,120.6,27.68,30.6,78.3
synth_27,Heavy Machinery,capacity,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,0.0,0.815,5.12,1.0,81.48,65.18,48.89,40.74,23.15,2.08,28.52,0.0,0.0,2.08,28.52,0.0,84.2,68.58,104.92,5.39,136.35,19.56,4.8,44.0
