industry,import_dependency,supplier_concentration,major_suppliers_count,alternative_suppliers_count,avg_lead_time_days,inventory_days,safety_stock_days,monthly_procurement_lakhs,port_dependency,road_dependency,transport_mode,primary_port,shock_type,duration_days,severity_pct,crude_price_change_pct,usd_inr_change_pct,freight_index_change_pct,commodity_price_change_pct,inflation_rate_pct,port_congestion_pct,road_congestion_pct,transport_delay_days,cost_impact_pct,lead_time_impact_days,risk_score
Automotive,57.8,59.9,5,1,7.4,7.9,3.1,2820.4,44.1,78.3,Road,Cochin Port,Critical Raw Material Shortage,26.0,72.6,-2.07,0.19,-0.38,55.25,4.52,31.0,45.5,2.4,21.04,6.4,76.5
FMCG,45.6,67.0,2,1,13.3,12.5,6.3,103.0,7.4,76.3,Multimodal,Cochin Port,Major Port Congestion & Strike,37.0,85.5,7.16,0.96,62.47,6.06,6.39,96.0,15.0,7.4,11.13,11.3,67.2
Electronics,52.6,35.6,4,1,20.0,25.8,12.3,14.4,70.5,69.2,Air,Hazira (Surat),Labor Union Agitation,19.0,59.3,16.89,-0.34,6.3,3.49,7.39,54.6,53.8,5.6,9.98,10.8,46.0
Engineering,44.0,24.8,4,1,15.6,30.9,8.9,251.4,32.4,38.2,Road,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,0.54,-1.15,-2.36,3.11,4.96,24.3,27.2,0.2,2.22,1.1,12.7
Automotive,50.8,71.6,1,1,7.7,5.0,2.0,2666.7,30.6,48.8,Road,Kolkata & Haldia,Major Port Congestion & Strike,35.0,33.5,6.02,1.47,27.59,3.14,5.23,43.5,34.9,3.4,7.06,4.8,61.8
FMCG,7.8,31.1,3,5,4.0,31.3,11.5,89.2,21.1,64.5,Road,Visakhapatnam,Monsoon Flooding & Highway Blockade,30.0,40.8,3.99,2.69,12.55,1.92,4.7,53.7,69.0,4.7,5.25,6.0,24.2
Engineering,39.6,25.4,2,1,18.7,30.6,15.8,70.2,61.4,82.1,Road,Cochin Port,Global Container Shortage,34.0,47.7,5.49,0.7,67.05,4.38,6.14,24.5,56.2,1.0,12.11,4.9,38.4
Chemicals,78.3,42.3,3,2,11.1,32.8,14.2,206.7,37.4,84.1,Sea,Visakhapatnam,Import Tariff & Trade Restriction,27.0,72.5,14.48,1.45,25.48,19.35,6.7,36.4,32.2,2.4,15.56,6.2,44.3
Pharmaceuticals,46.9,57.8,1,3,33.6,43.4,17.8,449.0,63.9,36.5,Road,Hazira (Surat),Crude Oil Surge & Fuel Surcharge,11.0,73.7,53.97,-1.29,-5.65,7.21,3.5,15.0,64.4,2.0,8.54,5.4,29.9
Automotive,45.2,60.9,8,0,28.8,11.8,3.2,51.4,61.8,31.5,Road,Chennai Port,Labor Union Agitation,33.0,44.9,9.23,4.36,14.24,-0.49,5.63,42.9,52.0,5.4,9.49,9.4,61.1
Engineering,52.2,43.0,6,1,25.0,23.2,8.2,734.1,47.0,83.0,Sea,Mundra (Gujarat),Monsoon Flooding & Highway Blockade,19.0,52.8,1.31,1.96,-3.76,6.08,6.45,41.3,58.1,9.2,9.65,12.8,49.0
FMCG,42.2,49.4,2,2,4.0,25.4,10.0,13.3,39.5,39.0,Road,Hazira (Surat),Import Tariff & Trade Restriction,21.0,79.5,16.2,1.86,10.95,14.8,6.2,55.9,40.7,2.1,10.84,5.9,36.4
Engineering,31.9,41.8,5,2,18.3,31.5,8.7,720.9,37.1,44.9,Road,Hazira (Surat),Monsoon Flooding & Highway Blockade,9.0,71.0,3.58,3.41,5.65,6.92,4.91,29.7,88.0,9.9,9.75,13.0,40.7
Electronics,75.3,48.3,4,0,22.3,33.6,10.5,22.9,80.4,48.9,Road,Cochin Port,Major Port Congestion & Strike,18.0,55.1,7.29,4.72,41.88,17.6,6.42,61.3,30.8,3.8,20.87,9.9,53.7
Pharmaceuticals,67.0,41.4,4,0,18.3,38.8,11.4,231.7,16.0,70.8,Air,Kolkata & Haldia,Import Tariff & Trade Restriction,10.0,67.0,-0.22,2.1,9.82,28.81,3.73,43.1,27.7,2.4,12.72,5.9,38.6
Textiles,25.5,39.6,4,4,13.7,29.2,11.8,98.3,62.3,67.1,Road,Chennai Port,Global Container Shortage,31.0,74.9,4.22,3.12,96.01,-0.27,6.36,73.8,47.8,1.6,16.76,8.4,47.4
Automotive,39.6,51.4,2,3,4.0,5.0,2.6,95.3,28.0,42.3,Road,Visakhapatnam,None (Normal Baseline),0.0,0.0,4.36,2.26,2.19,1.5,5.1,27.8,10.9,0.8,0.82,0.7,19.9
FMCG,26.8,59.1,3,3,11.6,31.4,8.5,51.1,49.5,38.2,Road,Cochin Port,Labor Union Agitation,16.0,26.3,1.1,3.14,10.28,-4.68,6.14,38.5,43.9,2.4,3.69,4.1,19.9
Automotive,19.8,61.5,4,2,10.4,27.8,15.1,1542.6,85.1,90.1,Road,Cochin Port,None (Normal Baseline),0.0,0.0,2.53,0.63,-3.07,0.12,3.92,26.1,26.2,0.6,1.2,0.7,20.7
Steel & Metallurgy,27.7,95.0,4,6,11.0,20.2,7.0,778.8,38.4,72.1,Sea,Mundra (Gujarat),Cyclone Alert & Coastal Freight Halt,22.0,41.9,-3.37,-0.58,20.26,-0.73,6.66,62.8,37.2,1.1,3.71,3.7,30.5
Pharmaceuticals,30.8,62.8,4,5,25.8,35.8,11.9,12.0,55.6,54.8,Sea,Hazira (Surat),None (Normal Baseline),0.0,0.0,2.43,0.89,-2.9,-0.54,4.4,11.5,28.4,1.3,1.77,0.1,14.4
Automotive,25.6,53.9,2,3,6.3,11.8,3.5,18.3,29.7,56.9,Road,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),19.0,51.2,-6.01,7.8,9.89,4.35,6.19,34.5,29.5,3.1,6.29,3.9,36.4
Engineering,42.9,38.0,1,1,20.7,20.4,9.2,28.3,56.6,40.3,Rail,Visakhapatnam,Global Container Shortage,23.0,87.0,16.59,0.61,113.99,5.43,5.84,70.6,49.3,1.6,18.19,8.3,57.0
Steel & Metallurgy,13.0,41.6,4,6,18.9,36.4,15.2,2403.1,15.1,55.7,Rail,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),33.0,29.7,-0.56,4.17,-3.02,4.81,6.51,23.2,22.9,3.9,4.18,3.7,18.3
Textiles,44.5,95.0,5,3,14.9,14.6,6.6,1201.9,28.0,47.1,Multimodal,Mundra (Gujarat),Labor Union Agitation,32.0,52.2,-5.42,2.59,-5.32,0.87,4.71,51.8,63.4,4.9,4.9,7.4,42.2
Steel & Metallurgy,41.6,36.1,3,3,9.1,20.1,8.5,157.8,32.3,95.2,Road,Hazira (Surat),Import Tariff & Trade Restriction,16.0,83.5,-1.8,1.25,14.35,29.63,6.61,21.7,42.2,0.9,12.26,4.0,38.8
Pharmaceuticals,44.0,62.5,4,2,13.4,22.2,7.1,208.5,51.8,67.3,Road,Mundra (Gujarat),Critical Raw Material Shortage,20.0,46.9,0.03,4.66,15.21,46.66,6.15,25.7,29.6,1.4,18.75,3.5,45.8
Textiles,12.4,63.9,2,5,5.2,45.9,12.2,166.7,23.2,46.6,Multimodal,Hazira (Surat),Monsoon Flooding & Highway Blockade,44.0,27.7,-1.21,1.46,11.99,1.8,4.41,15.0,51.2,4.1,4.18,4.3,22.4
Textiles,12.8,36.3,3,4,6.8,26.5,6.8,341.9,46.0,98.0,Sea,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),38.0,36.3,-2.65,5.51,21.03,-4.24,5.82,20.5,44.9,1.2,3.48,3.3,22.9
Textiles,21.0,62.0,4,7,22.3,31.1,15.1,541.3,43.3,66.6,Sea,JNPT (Navi Mumbai),Currency Depreciation (USD/INR Spike),6.0,44.4,16.66,5.78,19.92,2.37,6.86,42.7,27.8,0.8,6.45,2.8,20.1
Textiles,19.6,75.4,6,4,8.0,33.7,17.4,26.7,59.3,86.6,Road,Kolkata & Haldia,Critical Raw Material Shortage,39.0,37.8,4.29,3.75,2.29,21.71,7.61,49.6,41.3,2.1,12.45,5.9,36.1
Steel & Metallurgy,12.1,30.1,4,3,15.1,18.4,5.9,170.8,23.7,63.5,Rail,JNPT (Navi Mumbai),Labor Union Agitation,8.0,51.3,9.94,3.95,0.91,8.36,4.62,64.7,53.2,5.4,6.55,7.3,33.4
Textiles,18.5,46.0,5,7,5.8,28.2,15.3,2740.5,40.4,60.3,Road,Cochin Port,Crude Oil Surge & Fuel Surcharge,10.0,86.2,42.63,0.18,19.02,15.74,6.32,15.0,39.2,3.2,16.03,4.9,40.4
Steel & Metallurgy,51.8,22.9,5,4,20.6,13.6,6.1,293.5,70.3,43.2,Sea,Visakhapatnam,Crude Oil Surge & Fuel Surcharge,18.0,45.7,30.21,0.66,14.22,4.28,5.68,47.4,60.3,0.5,7.41,5.2,37.2
Automotive,55.4,48.8,8,1,15.6,24.7,12.7,902.8,68.1,93.8,Road,Kolkata & Haldia,Import Tariff & Trade Restriction,13.0,33.4,8.45,0.45,20.06,15.12,5.48,54.2,58.7,3.6,11.79,8.1,43.0
Automotive,68.7,54.8,4,4,4.0,22.9,7.2,28.0,42.1,98.0,Road,JNPT (Navi Mumbai),Critical Raw Material Shortage,18.0,94.8,14.16,2.52,17.97,56.15,4.86,58.0,37.9,2.6,29.18,6.9,59.2
Engineering,5.0,44.6,3,2,19.9,36.0,14.4,150.0,60.8,67.7,Road,JNPT (Navi Mumbai),Cyclone Alert & Coastal Freight Halt,34.0,33.5,0.23,0.97,10.5,12.18,6.08,64.9,37.0,4.5,9.11,8.7,32.4
Textiles,8.1,26.4,1,2,14.2,33.3,16.2,229.7,18.2,72.7,Rail,Visakhapatnam,Critical Raw Material Shortage,32.0,39.9,7.06,1.49,4.91,32.62,5.03,38.8,24.2,3.7,14.53,4.0,33.4
Electronics,65.1,48.8,3,2,12.0,19.7,6.3,44.9,83.5,51.6,Rail,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,42.0,26.0,4.15,-0.21,0.91,0.75,5.07,29.2,68.5,5.0,5.37,7.4,40.5
Chemicals,60.0,43.5,4,0,11.1,11.7,6.0,56.0,86.1,83.9,Road,Chennai Port,Monsoon Flooding & Highway Blockade,34.0,84.5,-9.37,3.22,3.51,4.25,5.62,53.9,76.5,6.7,13.78,18.0,75.6
Engineering,67.8,85.5,2,1,18.4,31.2,12.1,206.9,31.7,69.5,Road,Chennai Port,None (Normal Baseline),0.0,0.0,0.13,-0.82,-3.64,7.07,6.99,25.5,33.1,0.4,0.06,0.4,23.2
Textiles,5.0,70.2,1,5,13.9,24.0,7.8,1889.8,40.2,76.4,Sea,JNPT (Navi Mumbai),Labor Union Agitation,20.0,87.7,-0.16,-0.31,1.64,-0.47,5.43,57.5,46.4,6.7,5.87,11.5,37.1
Electronics,78.5,47.2,4,4,19.1,13.0,4.0,12.5,43.5,85.3,Sea,Hazira (Surat),Labor Union Agitation,43.0,86.1,12.75,-0.5,11.61,3.84,5.1,65.8,55.4,6.1,12.69,15.5,72.4
Steel & Metallurgy,21.9,51.9,5,6,10.5,36.4,18.9,904.1,44.8,72.5,Road,Chennai Port,Monsoon Flooding & Highway Blockade,28.0,32.3,-1.6,2.07,17.8,10.52,6.95,45.4,61.0,4.1,7.98,6.4,27.3
Steel & Metallurgy,16.1,51.6,8,2,28.0,19.4,6.9,34.4,54.7,32.8,Rail,JNPT (Navi Mumbai),Major Port Congestion & Strike,7.0,59.2,12.04,0.61,68.85,10.19,6.07,75.2,20.9,8.2,15.64,10.3,50.6
Electronics,48.9,63.1,8,3,14.4,26.9,11.1,27.9,85.1,61.4,Road,Hazira (Surat),Labor Union Agitation,39.0,51.8,0.54,4.87,-0.03,6.83,6.64,36.7,39.1,4.5,9.9,9.9,44.0
FMCG,14.3,63.8,6,5,20.2,22.9,7.0,220.1,45.9,47.7,Road,Cochin Port,Import Tariff & Trade Restriction,6.0,34.9,-1.09,1.6,3.55,7.81,5.85,17.3,37.4,4.5,4.64,5.0,23.4
Textiles,8.4,34.4,2,4,20.5,39.7,13.4,22.3,42.4,46.7,Sea,Mundra (Gujarat),None (Normal Baseline),0.0,0.0,1.98,0.61,1.05,2.33,4.71,23.1,10.0,0.6,1.6,0.3,9.7
Engineering,33.0,48.4,2,4,24.6,33.3,10.7,2010.2,44.8,45.4,Road,Visakhapatnam,None (Normal Baseline),0.0,0.0,2.35,1.11,-4.88,6.25,5.22,24.4,31.5,1.0,1.86,0.3,18.2
Pharmaceuticals,62.9,35.5,9,3,15.0,41.8,14.8,773.0,45.0,69.7,Sea,Visakhapatnam,None (Normal Baseline),0.0,0.0,0.49,0.15,-0.86,2.84,4.72,23.4,37.1,0.8,1.32,0.8,16.2
Pharmaceuticals,86.5,60.9,3,1,33.1,30.5,15.1,538.1,66.1,98.0,Road,Chennai Port,Labor Union Agitation,21.0,87.5,14.49,3.33,3.27,14.81,5.35,59.3,62.0,6.1,19.64,17.7,67.7
Textiles,33.7,73.4,1,2,16.4,37.9,18.6,377.8,34.9,71.1,Sea,JNPT (Navi Mumbai),Critical Raw Material Shortage,27.0,75.3,10.4,3.57,22.67,49.44,4.57,25.4,34.4,2.1,24.41,5.1,51.5
FMCG,5.0,66.0,8,2,15.4,8.5,2.2,12.6,62.7,71.9,Road,Mundra (Gujarat),None (Normal Baseline),0.0,0.0,3.48,0.33,-0.08,1.04,5.25,28.0,33.6,1.2,1.42,0.5,16.8
Electronics,86.0,64.7,3,3,11.7,27.2,11.5,10.6,85.4,57.9,Road,Cochin Port,Global Container Shortage,8.0,70.2,7.58,2.72,114.49,-1.65,6.23,43.5,20.6,1.5,20.34,5.6,49.8
Textiles,56.5,80.0,6,3,16.6,23.1,12.7,1670.0,36.8,60.9,Sea,Hazira (Surat),Labor Union Agitation,8.0,47.6,9.89,0.14,6.11,2.66,6.82,57.5,46.8,7.7,6.87,9.5,36.5
Engineering,41.5,75.4,3,2,22.1,30.5,13.4,1926.2,38.5,67.5,Road,Kolkata & Haldia,Crude Oil Surge & Fuel Surcharge,6.0,93.1,43.76,0.76,8.95,0.98,5.76,32.5,50.9,1.6,10.58,5.7,38.4
Pharmaceuticals,36.9,72.9,6,0,30.8,26.1,13.6,2371.7,81.3,56.6,Road,Visakhapatnam,Crude Oil Surge & Fuel Surcharge,8.0,36.9,17.84,0.91,7.35,7.82,5.53,39.2,19.9,2.4,7.65,5.5,28.8
Engineering,45.6,37.8,5,3,17.4,35.4,14.4,482.6,32.6,74.6,Rail,JNPT (Navi Mumbai),Labor Union Agitation,16.0,43.0,5.76,-2.09,24.58,7.17,5.75,37.1,46.3,5.5,7.64,7.4,27.1
Chemicals,49.8,61.3,2,1,20.1,23.4,7.3,18.9,55.9,84.5,Road,JNPT (Navi Mumbai),Critical Raw Material Shortage,14.0,86.3,4.61,3.52,18.31,52.67,5.55,19.8,35.9,2.1,23.96,5.9,56.1
FMCG,20.7,88.5,6,5,10.7,19.3,7.8,66.7,42.8,81.1,Road,Visakhapatnam,Global Container Shortage,28.0,73.6,-1.67,-0.03,94.31,1.85,4.23,61.4,56.7,4.4,12.11,9.9,51.3
Textiles,41.7,95.0,3,3,11.3,30.1,11.9,125.1,27.2,63.6,Road,Chennai Port,Cyclone Alert & Coastal Freight Halt,10.0,85.1,-4.62,2.26,29.14,7.69,4.56,86.9,32.4,2.1,7.42,5.5,34.1
FMCG,5.0,46.5,6,2,4.0,10.0,4.4,2907.4,16.1,65.4,Rail,Cochin Port,Labor Union Agitation,24.0,58.0,4.28,0.91,7.04,-4.28,6.29,36.2,52.8,3.9,2.94,5.2,38.9
Automotive,65.4,26.5,2,0,28.5,28.1,7.9,2445.6,29.5,69.3,Road,Cochin Port,None (Normal Baseline),0.0,0.0,2.41,-0.35,5.11,0.98,4.23,20.9,17.7,0.0,0.51,0.4,13.8
Chemicals,42.4,46.2,4,1,4.2,35.6,19.3,180.8,91.8,72.8,Road,Kolkata & Haldia,Labor Union Agitation,14.0,53.7,8.91,3.31,9.23,5.42,4.4,66.8,47.1,3.2,11.86,9.3,39.5
Chemicals,26.8,81.4,3,5,22.6,25.8,8.7,1125.1,46.4,63.2,Road,Mundra (Gujarat),Global Container Shortage,32.0,45.6,-4.1,0.62,80.34,11.57,5.79,50.4,46.7,1.9,11.21,4.4,35.8
Electronics,79.5,75.0,6,1,4.0,12.0,5.1,948.8,63.2,54.6,Multimodal,Chennai Port,Labor Union Agitation,25.0,38.7,13.32,3.49,7.21,15.01,5.84,58.4,51.3,4.6,13.46,8.3,61.5
Automotive,32.1,75.2,1,2,12.8,18.0,8.9,105.6,19.3,84.0,Road,Kolkata & Haldia,Critical Raw Material Shortage,30.0,87.3,1.36,1.63,5.28,58.19,4.57,36.6,39.8,2.4,24.8,6.1,64.0
Steel & Metallurgy,5.0,61.4,3,3,7.7,33.4,13.4,466.8,68.2,97.9,Road,Hazira (Surat),Currency Depreciation (USD/INR Spike),14.0,57.1,4.87,7.7,8.06,-0.41,4.73,43.7,46.9,3.1,5.08,6.0,26.3
Electronics,98.0,58.7,2,2,15.8,28.6,8.3,1024.1,54.4,78.8,Road,Hazira (Surat),Critical Raw Material Shortage,9.0,79.3,-5.2,0.66,21.83,56.42,5.8,35.4,33.8,2.0,21.87,6.3,54.4
FMCG,13.7,38.9,5,6,10.4,20.1,8.4,12.9,16.9,88.2,Road,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,40.0,55.9,7.91,4.27,29.24,-0.89,5.65,76.8,45.3,3.8,7.02,6.7,34.5
Electronics,85.5,31.4,4,3,24.6,21.3,8.0,211.1,99.0,81.0,Rail,Hazira (Surat),Global Container Shortage,24.0,78.6,18.82,0.66,111.35,5.29,5.07,57.2,39.4,1.9,28.98,12.3,71.8
Steel & Metallurgy,31.3,49.0,3,1,15.2,30.1,7.9,70.5,36.7,52.1,Rail,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,34.0,42.1,7.61,0.26,11.99,1.63,5.15,54.3,58.6,0.5,3.96,3.8,25.0
Electronics,75.9,47.3,2,2,17.8,15.8,6.2,44.5,72.3,78.8,Sea,Mundra (Gujarat),None (Normal Baseline),0.0,0.0,4.17,2.34,0.06,-1.36,4.02,24.6,33.8,0.1,2.06,0.0,20.4
Steel & Metallurgy,51.0,32.1,5,2,8.7,29.8,7.8,14.1,27.8,61.3,Rail,Mundra (Gujarat),Monsoon Flooding & Highway Blockade,16.0,59.3,-5.59,-0.37,11.73,4.66,4.64,48.6,72.0,9.0,6.51,11.9,35.6
Electronics,61.7,63.6,2,2,19.2,7.3,2.0,19.6,84.4,53.9,Road,JNPT (Navi Mumbai),Global Container Shortage,22.0,40.0,8.29,1.86,99.97,3.11,5.0,33.1,53.9,2.0,18.72,4.6,68.2
Engineering,31.4,46.8,4,3,16.6,32.8,11.1,30.0,58.2,55.7,Rail,JNPT (Navi Mumbai),Global Container Shortage,30.0,25.4,12.18,1.09,34.12,6.04,4.85,39.0,15.0,1.6,9.99,3.1,32.7
Engineering,30.9,85.1,3,1,9.6,34.3,14.9,2483.2,24.5,90.5,Air,Mundra (Gujarat),Currency Depreciation (USD/INR Spike),24.0,65.2,19.11,5.78,0.8,2.14,5.43,42.1,20.7,4.0,11.73,5.2,36.6
Engineering,23.8,46.4,3,1,16.3,40.0,15.8,2590.9,67.8,41.0,Road,JNPT (Navi Mumbai),Cyclone Alert & Coastal Freight Halt,40.0,88.0,9.4,-0.11,9.1,4.39,7.34,79.0,42.1,1.6,9.26,11.7,42.2
Pharmaceuticals,58.7,49.0,4,2,12.9,39.7,13.2,67.9,44.5,74.2,Air,Visakhapatnam,Import Tariff & Trade Restriction,13.0,27.3,4.64,-0.79,12.65,9.62,4.3,26.6,35.7,3.9,7.56,4.8,25.8
FMCG,30.8,28.4,7,4,11.0,31.7,10.6,1184.8,22.6,43.7,Road,Mundra (Gujarat),Cyclone Alert & Coastal Freight Halt,15.0,87.2,15.97,0.01,47.61,3.89,4.15,77.3,50.2,0.5,7.38,3.8,25.7
Pharmaceuticals,65.5,65.6,3,2,31.8,35.6,9.1,18.0,53.8,58.3,Road,Mundra (Gujarat),Crude Oil Surge & Fuel Surcharge,42.0,73.0,44.8,2.85,0.4,5.53,6.51,27.1,50.2,2.0,15.61,8.3,48.6
Electronics,95.6,67.3,7,3,5.1,44.1,13.2,1642.0,70.1,52.9,Road,Cochin Port,Critical Raw Material Shortage,5.0,51.4,2.51,3.77,-4.66,41.96,5.92,39.4,65.0,2.7,16.9,4.7,40.9
Steel & Metallurgy,60.9,64.1,4,3,7.3,6.7,2.5,1013.6,62.2,58.3,Road,Hazira (Surat),Labor Union Agitation,23.0,66.3,5.57,1.36,14.77,-1.13,6.47,68.8,56.8,6.4,8.36,11.2,66.8
Engineering,74.5,41.3,1,4,23.9,35.4,14.4,188.2,49.5,53.1,Air,Cochin Port,Import Tariff & Trade Restriction,40.0,63.3,12.02,0.18,12.59,36.26,4.66,52.7,41.5,2.8,19.58,8.4,53.3
Pharmaceuticals,54.2,27.9,3,2,25.9,43.4,18.3,1498.8,62.6,56.5,Rail,Chennai Port,Crude Oil Surge & Fuel Surcharge,10.0,52.9,33.06,3.24,10.86,5.01,6.16,25.5,42.0,2.5,9.93,6.1,30.3
Automotive,34.4,41.0,5,5,17.9,9.3,4.8,58.2,26.4,97.9,Multimodal,Chennai Port,Cyclone Alert & Coastal Freight Halt,14.0,81.4,8.5,1.39,50.53,9.94,4.2,83.2,28.7,3.0,10.73,6.9,55.9
Automotive,47.1,70.6,2,3,12.8,5.2,2.0,12.4,64.9,75.8,Road,Visakhapatnam,Currency Depreciation (USD/INR Spike),8.0,81.5,8.88,8.77,-9.88,8.74,5.42,29.9,60.9,2.6,11.51,6.4,70.6
Chemicals,54.1,37.0,7,0,19.7,30.9,16.4,19.6,72.1,70.3,Road,Chennai Port,Critical Raw Material Shortage,10.0,45.4,4.83,4.44,19.62,42.48,4.77,35.0,36.3,2.0,19.09,5.5,45.6
Chemicals,54.1,42.5,2,1,23.7,39.3,14.5,34.5,57.0,78.6,Air,Chennai Port,Crude Oil Surge & Fuel Surcharge,19.0,65.0,39.72,1.58,11.5,5.82,4.49,47.3,62.8,1.3,13.81,6.9,39.9
Pharmaceuticals,47.9,37.8,4,0,15.8,32.4,13.5,14.4,54.1,60.7,Rail,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,19.0,28.3,4.36,2.51,15.23,1.27,5.51,70.5,21.9,2.5,7.07,5.9,31.2
Electronics,59.0,40.7,4,1,10.8,17.5,9.0,21.2,53.1,64.7,Road,Visakhapatnam,None (Normal Baseline),0.0,0.0,-3.18,-0.64,-3.69,3.96,5.45,29.8,19.4,0.9,1.15,0.8,20.1
Steel & Metallurgy,36.8,61.3,1,2,23.3,25.3,8.6,132.0,34.5,69.6,Rail,Chennai Port,Global Container Shortage,17.0,77.7,4.11,5.27,138.38,-1.36,4.79,53.5,18.7,2.1,12.32,5.5,38.7
Automotive,40.7,52.5,1,1,21.0,16.3,5.3,249.1,54.1,41.9,Road,Kolkata & Haldia,None (Normal Baseline),0.0,0.0,-3.5,-0.61,3.81,4.38,4.38,29.7,17.8,0.9,0.59,0.2,17.9
Textiles,5.3,35.7,2,4,20.0,35.6,9.3,15.0,40.8,44.8,Road,Mundra (Gujarat),Major Port Congestion & Strike,22.0,42.3,1.6,1.08,59.36,9.7,4.02,78.7,38.4,6.3,10.24,8.6,31.5
Chemicals,48.7,53.5,2,3,13.4,19.9,8.2,38.8,58.3,98.0,Sea,Hazira (Surat),None (Normal Baseline),0.0,0.0,-1.28,-0.85,0.9,1.08,3.96,20.1,25.9,0.1,1.07,0.7,14.7
FMCG,20.3,68.6,5,7,11.3,33.4,14.4,94.3,26.4,73.8,Air,Hazira (Surat),Monsoon Flooding & Highway Blockade,41.0,77.6,10.46,0.44,-3.85,5.79,5.17,47.6,69.9,9.0,11.83,12.6,45.1
Electronics,69.8,64.2,3,3,17.3,30.4,9.5,1392.3,99.0,56.0,Road,Kolkata & Haldia,Import Tariff & Trade Restriction,32.0,27.1,7.22,0.07,14.24,10.35,4.73,45.3,32.9,3.8,11.27,8.0,42.7
Automotive,39.2,52.6,2,0,13.6,15.2,6.4,2452.7,46.7,55.0,Road,Chennai Port,Cyclone Alert & Coastal Freight Halt,13.0,33.8,1.42,1.71,8.23,9.08,7.32,58.5,53.0,4.0,6.63,6.1,41.9
Textiles,35.9,56.0,1,4,8.4,27.3,8.7,68.7,14.9,41.9,Road,Kolkata & Haldia,Import Tariff & Trade Restriction,39.0,51.4,-0.02,6.73,18.73,20.56,6.67,33.5,50.4,2.7,12.58,4.0,34.0
Automotive,32.7,46.8,4,0,17.1,16.3,4.8,28.9,53.6,72.5,Road,Chennai Port,Import Tariff & Trade Restriction,17.0,42.7,7.16,-0.29,26.53,27.35,4.49,15.0,38.9,4.0,13.79,5.8,47.5
Automotive,51.2,60.6,4,1,21.4,18.4,8.4,46.1,54.2,59.8,Sea,Mundra (Gujarat),Labor Union Agitation,18.0,90.2,0.43,4.53,10.58,5.79,5.27,66.5,66.5,4.8,11.28,12.9,58.5
Electronics,86.5,95.0,2,0,12.2,24.1,9.7,2278.5,91.1,92.3,Rail,JNPT (Navi Mumbai),Import Tariff & Trade Restriction,17.0,91.2,0.14,3.26,21.08,31.03,7.48,30.9,65.0,2.5,20.93,11.5,70.8
Textiles,9.8,71.0,4,0,4.0,20.5,9.7,60.1,14.3,90.8,Rail,Hazira (Surat),Monsoon Flooding & Highway Blockade,34.0,64.5,12.09,1.07,16.3,8.62,5.91,46.1,67.8,8.6,14.53,12.4,58.0
Engineering,47.6,31.2,3,0,19.1,19.9,9.8,1237.9,34.2,49.8,Road,Chennai Port,Labor Union Agitation,38.0,46.9,-1.0,0.52,20.3,3.61,6.18,50.8,40.8,5.8,7.09,9.0,40.1
FMCG,5.0,56.6,8,1,12.0,21.2,6.5,378.3,28.6,67.0,Rail,Visakhapatnam,Crude Oil Surge & Fuel Surcharge,20.0,78.6,42.27,1.17,-5.38,0.76,5.78,38.9,40.6,3.2,11.14,6.3,41.2
Chemicals,60.5,55.2,2,2,13.9,33.0,8.4,92.6,37.5,79.1,Road,Kolkata & Haldia,None (Normal Baseline),0.0,0.0,-3.26,-1.82,-1.15,-0.18,5.17,22.8,25.1,0.0,0.53,0.4,15.0
Chemicals,37.4,78.5,1,1,9.2,28.2,10.6,156.7,68.0,64.3,Road,Mundra (Gujarat),Cyclone Alert & Coastal Freight Halt,26.0,55.1,12.18,1.61,27.13,6.91,5.78,84.8,36.5,3.3,13.69,9.1,48.9
Electronics,92.3,44.8,3,1,18.4,16.2,8.2,101.7,84.9,73.3,Road,Cochin Port,Import Tariff & Trade Restriction,43.0,89.8,1.79,0.25,24.01,19.01,5.43,44.6,25.3,2.3,17.54,12.0,78.1
Pharmaceuticals,60.3,40.3,1,2,29.9,24.7,11.6,38.8,63.7,79.7,Road,Visakhapatnam,Cyclone Alert & Coastal Freight Halt,7.0,65.5,-5.42,1.74,35.63,3.96,6.41,81.6,52.8,1.7,9.01,8.3,40.4
Automotive,19.0,21.0,3,3,9.3,25.8,9.2,34.1,18.6,98.0,Road,Chennai Port,Import Tariff & Trade Restriction,12.0,41.9,0.15,0.25,14.91,15.04,5.64,27.2,21.2,2.5,6.37,3.4,20.9
Pharmaceuticals,55.4,34.3,5,3,26.5,35.1,9.3,164.6,45.8,58.5,Multimodal,Cochin Port,Critical Raw Material Shortage,13.0,25.2,-2.38,1.88,11.83,23.62,5.33,28.2,34.3,1.5,9.39,2.3,25.1
Steel & Metallurgy,60.0,64.3,4,0,7.0,11.9,5.9,414.8,75.0,50.4,Road,Chennai Port,Labor Union Agitation,25.0,79.2,15.35,0.78,8.79,5.2,6.06,37.3,57.2,3.6,10.8,8.5,60.5
